#	Freq	Err	Tansmission
    3.22200E+02    4.32339E-01    6.48989E-01
    3.22300E+02    4.48284E-01    6.38723E-01
    3.22400E+02    4.65940E-01    6.27545E-01
    3.22500E+02    4.85170E-01    6.15592E-01
    3.22600E+02    5.06077E-01    6.02856E-01
    3.22700E+02    5.28953E-01    5.89221E-01
    3.22800E+02    5.53390E-01    5.74997E-01
    3.22900E+02    5.80142E-01    5.59819E-01
    3.23000E+02    6.09215E-01    5.43778E-01
    3.23100E+02    6.40789E-01    5.26877E-01
    3.23200E+02    6.75081E-01    5.09115E-01
    3.23300E+02    7.12292E-01    4.90519E-01
    3.23400E+02    7.52664E-01    4.71110E-01
    3.23500E+02    7.96457E-01    4.50924E-01
    3.23600E+02    8.44100E-01    4.29944E-01
    3.23700E+02    9.00576E-01    4.06336E-01
    3.23800E+02    9.49767E-01    3.86831E-01
    3.23900E+02    1.00781E+00    3.65017E-01
    3.24000E+02    1.07006E+00    3.42988E-01
    3.24100E+02    1.13611E+00    3.21067E-01
    3.24200E+02    1.20571E+00    2.99481E-01
    3.24300E+02    1.27803E+00    2.78587E-01
    3.24400E+02    1.35216E+00    2.58680E-01
    3.24500E+02    1.42711E+00    2.40002E-01
    3.24600E+02    1.50118E+00    2.22867E-01
    3.24700E+02    1.57221E+00    2.07587E-01
    3.24800E+02    1.63752E+00    1.94462E-01
    3.24900E+02    1.69394E+00    1.83794E-01
    3.25000E+02    1.73762E+00    1.75939E-01
    3.25100E+02    1.76434E+00    1.71300E-01
    3.25200E+02    1.76618E+00    1.70984E-01
    3.25300E+02    1.74256E+00    1.75072E-01
    3.25400E+02    1.70168E+00    1.82376E-01
    3.25500E+02    1.64758E+00    1.92515E-01
    3.25600E+02    1.58435E+00    2.05081E-01
    3.25700E+02    1.51494E+00    2.19822E-01
    3.25800E+02    1.44228E+00    2.36387E-01
    3.25900E+02    1.36847E+00    2.54496E-01
    3.26000E+02    1.29528E+00    2.73822E-01
    3.26100E+02    1.22377E+00    2.94119E-01
    3.26200E+02    1.15496E+00    3.15069E-01
    3.26300E+02    1.08987E+00    3.36262E-01
    3.26400E+02    1.02963E+00    3.57140E-01
    3.26500E+02    9.74861E-01    3.77245E-01
    3.26600E+02    9.21538E-01    3.97906E-01
    3.26700E+02    8.79666E-01    4.14922E-01
    3.26800E+02    8.62008E-01    4.22313E-01
    3.26900E+02    1.08881E+00    3.36618E-01
    3.27000E+02    7.77747E-01    4.59440E-01
    3.27100E+02    7.08974E-01    4.92149E-01
    3.27200E+02    6.64095E-01    5.14739E-01
    3.27300E+02    6.27404E-01    5.33976E-01
    3.27400E+02    5.95342E-01    5.51374E-01
    3.27500E+02    5.66726E-01    5.67380E-01
    3.27600E+02    5.41296E-01    5.81993E-01
    3.27700E+02    5.20471E-01    5.94240E-01
    3.27800E+02    5.10676E-01    6.00090E-01
    3.27900E+02    4.86758E-01    6.14615E-01
    3.28000E+02    4.56838E-01    6.33283E-01
    3.28100E+02    4.36462E-01    6.46319E-01
    3.28200E+02    4.18968E-01    6.57725E-01
    3.28300E+02    4.03110E-01    6.68239E-01
    3.28400E+02    3.88539E-01    6.78047E-01
    3.28500E+02    3.75127E-01    6.87202E-01
    3.28600E+02    3.62525E-01    6.95917E-01
    3.28700E+02    3.50810E-01    7.04117E-01
    3.28800E+02    3.39932E-01    7.11818E-01
    3.28900E+02    3.29738E-01    7.19112E-01
    3.29000E+02    3.20228E-01    7.25984E-01
    3.29100E+02    3.11393E-01    7.32426E-01
    3.29200E+02    3.02958E-01    7.38630E-01
    3.29300E+02    2.95208E-01    7.44377E-01
    3.29400E+02    2.87674E-01    7.50006E-01
    3.29500E+02    2.80707E-01    7.55250E-01
    3.29600E+02    2.74269E-01    7.60127E-01
    3.29700E+02    2.68158E-01    7.64787E-01
    3.29800E+02    2.63204E-01    7.68585E-01
    3.29900E+02    2.56700E-01    7.73600E-01
    3.30000E+02    2.51376E-01    7.77730E-01
    3.30100E+02    2.46424E-01    7.81591E-01
    3.30200E+02    2.41757E-01    7.85247E-01
    3.30300E+02    2.37342E-01    7.88722E-01
    3.30400E+02    2.33164E-01    7.92024E-01
    3.30500E+02    2.29198E-01    7.95171E-01
    3.30600E+02    2.25453E-01    7.98154E-01
    3.30700E+02    2.21895E-01    8.01000E-01
    3.30800E+02    2.18517E-01    8.03710E-01
    3.30900E+02    2.15324E-01    8.06280E-01
    3.31000E+02    2.12327E-01    8.08700E-01
    3.31100E+02    2.09456E-01    8.11025E-01
    3.31200E+02    2.06687E-01    8.13274E-01
    3.31300E+02    2.04102E-01    8.15379E-01
    3.31400E+02    2.01669E-01    8.17365E-01
    3.31500E+02    1.99403E-01    8.19220E-01
    3.31600E+02    1.97293E-01    8.20950E-01
    3.31700E+02    1.95387E-01    8.22516E-01
    3.31800E+02    1.94290E-01    8.23419E-01
    3.31900E+02    1.91883E-01    8.25404E-01
    3.32000E+02    1.90401E-01    8.26628E-01
    3.32100E+02    1.89447E-01    8.27417E-01
    3.32200E+02    1.88648E-01    8.28078E-01
    3.32300E+02    1.88798E-01    8.27954E-01
    3.32400E+02    1.90547E-01    8.26507E-01
    3.32500E+02    1.96222E-01    8.21830E-01
    3.32600E+02    2.15884E-01    8.05829E-01
    3.32700E+02    3.86603E-01    6.79361E-01
    3.32800E+02    2.32024E-01    7.92927E-01
    3.32900E+02    2.44903E-01    7.82780E-01
    3.33000E+02    1.93355E-01    8.24189E-01
    3.33100E+02    1.82137E-01    8.33487E-01
    3.33200E+02    1.76850E-01    8.37906E-01
    3.33300E+02    1.73583E-01    8.40647E-01
    3.33400E+02    1.71233E-01    8.42625E-01
    3.33500E+02    1.69357E-01    8.44208E-01
    3.33600E+02    1.67799E-01    8.45524E-01
    3.33700E+02    1.66439E-01    8.46674E-01
    3.33800E+02    1.65245E-01    8.47686E-01
    3.33900E+02    1.64240E-01    8.48539E-01
    3.34000E+02    1.63301E-01    8.49335E-01
    3.34100E+02    1.62180E-01    8.50288E-01
    3.34200E+02    1.61261E-01    8.51070E-01
    3.34300E+02    1.60436E-01    8.51772E-01
    3.34400E+02    1.59663E-01    8.52431E-01
    3.34500E+02    1.58962E-01    8.53029E-01
    3.34600E+02    1.58323E-01    8.53574E-01
    3.34700E+02    1.57769E-01    8.54047E-01
    3.34800E+02    1.57316E-01    8.54434E-01
    3.34900E+02    1.57055E-01    8.54657E-01
    3.35000E+02    1.57182E-01    8.54549E-01
    3.35100E+02    1.58418E-01    8.53493E-01
    3.35200E+02    1.64412E-01    8.48392E-01
    3.35300E+02    1.75055E-01    8.39411E-01
    3.35400E+02    1.58361E-01    8.53542E-01
    3.35500E+02    1.55042E-01    8.56379E-01
    3.35600E+02    1.53669E-01    8.57556E-01
    3.35700E+02    1.53149E-01    8.58001E-01
    3.35800E+02    1.51955E-01    8.59027E-01
    3.35900E+02    1.51780E-01    8.59177E-01
    3.36000E+02    1.50790E-01    8.60028E-01
    3.36100E+02    1.50247E-01    8.60496E-01
    3.36200E+02    1.50165E-01    8.60566E-01
    3.36300E+02    1.49327E-01    8.61288E-01
    3.36400E+02    1.48856E-01    8.61693E-01
    3.36500E+02    1.48448E-01    8.62045E-01
    3.36600E+02    1.48075E-01    8.62366E-01
    3.36700E+02    1.47720E-01    8.62673E-01
    3.36800E+02    1.47388E-01    8.62959E-01
    3.36900E+02    1.47081E-01    8.63224E-01
    3.37000E+02    1.46777E-01    8.63486E-01
    3.37100E+02    1.46617E-01    8.63624E-01
    3.37200E+02    1.46343E-01    8.63861E-01
    3.37300E+02    1.46036E-01    8.64127E-01
    3.37400E+02    1.45782E-01    8.64347E-01
    3.37500E+02    1.45687E-01    8.64428E-01
    3.37600E+02    1.45804E-01    8.64327E-01
    3.37700E+02    1.45333E-01    8.64734E-01
    3.37800E+02    1.44890E-01    8.65118E-01
    3.37900E+02    1.44638E-01    8.65336E-01
    3.38000E+02    1.44436E-01    8.65511E-01
    3.38100E+02    1.44262E-01    8.65661E-01
    3.38200E+02    1.44103E-01    8.65798E-01
    3.38300E+02    1.44018E-01    8.65872E-01
    3.38400E+02    1.43874E-01    8.65997E-01
    3.38500E+02    1.43743E-01    8.66110E-01
    3.38600E+02    1.43775E-01    8.66082E-01
    3.38700E+02    1.45027E-01    8.64999E-01
    3.38800E+02    1.43766E-01    8.66091E-01
    3.38900E+02    1.43339E-01    8.66461E-01
    3.39000E+02    1.43110E-01    8.66659E-01
    3.39100E+02    1.42972E-01    8.66779E-01
    3.39200E+02    1.42863E-01    8.66873E-01
    3.39300E+02    1.42770E-01    8.66953E-01
    3.39400E+02    1.42689E-01    8.67024E-01
    3.39500E+02    1.42615E-01    8.67087E-01
    3.39600E+02    1.42551E-01    8.67143E-01
    3.39700E+02    1.42495E-01    8.67192E-01
    3.39800E+02    1.42461E-01    8.67222E-01
    3.39900E+02    1.42441E-01    8.67238E-01
    3.40000E+02    1.42373E-01    8.67297E-01
    3.40100E+02    1.42337E-01    8.67329E-01
    3.40200E+02    1.42311E-01    8.67351E-01
    3.40300E+02    1.42293E-01    8.67367E-01
    3.40400E+02    1.42286E-01    8.67373E-01
    3.40500E+02    1.42299E-01    8.67362E-01
    3.40600E+02    1.42395E-01    8.67279E-01
    3.40700E+02    1.42711E-01    8.67004E-01
    3.40800E+02    1.42335E-01    8.67331E-01
    3.40900E+02    1.42302E-01    8.67359E-01
    3.41000E+02    1.42304E-01    8.67357E-01
